,reportedTests,reportedCases,specimenCases,reportedDeaths,specimenDeaths,certificateDeaths,hospitalisations,inHospital,posTests,mortCases,mortality,hospitalisationRate
2020-01-30,,,,,,,,,,,,
2020-01-31,,,,,,,,,,,,
2020-02-01,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,
2020-02-05,,,0.8571428571428571,,,0.2857142857142857,,,,,,
2020-02-06,,0.42857142857142855,0.7142857142857143,,,0.14285714285714285,,,,,,
2020-02-07,,0.14285714285714285,0.7142857142857143,,,0.14285714285714285,,,,,,
2020-02-08,,0.14285714285714285,1.1428571428571428,,,0.14285714285714285,,,,,,
2020-02-09,,0.2857142857142857,1.1428571428571428,,,0.0,,,,,,
2020-02-10,,0.8571428571428571,0.8571428571428571,,,0.0,,,,,,
2020-02-11,,0.8571428571428571,1.2857142857142858,,,0.0,,,,,,
2020-02-12,,0.8571428571428571,1.1428571428571428,,,0.0,,,,,,
2020-02-13,,0.8571428571428571,1.1428571428571428,,,0.0,,,,,,
2020-02-14,,0.8571428571428571,1.1428571428571428,,,0.0,,,,,,
2020-02-15,,0.8571428571428571,0.7142857142857143,,,0.0,,,,,,
2020-02-16,,0.7142857142857143,0.5714285714285714,,,0.0,,,,,,
2020-02-17,,0.14285714285714285,0.42857142857142855,,,0.0,,,,,,
2020-02-18,,0.14285714285714285,0.0,,,0.0,,,,,,
2020-02-19,,0.14285714285714285,0.0,,,0.0,,,,,,
2020-02-20,,0.0,0.0,,,0.0,,,,,,
2020-02-21,,0.0,0.2857142857142857,,,0.0,,,,,,
2020-02-22,,0.0,0.2857142857142857,,,0.14285714285714285,,,,,,
2020-02-23,,0.0,0.5714285714285714,,,0.14285714285714285,,,,,,
2020-02-24,,0.5714285714285714,0.8571428571428571,,,0.14285714285714285,,,,,,
2020-02-25,,0.5714285714285714,1.4285714285714286,,,0.14285714285714285,,,,,,
2020-02-26,,0.5714285714285714,2.2857142857142856,,,0.14285714285714285,,,,,,
2020-02-27,,0.5714285714285714,3.5714285714285716,,,0.14285714285714285,,,,,,
2020-02-28,,1.4285714285714286,5.0,,,0.14285714285714285,,,,,,
2020-02-29,,2.0,5.714285714285714,,,0.0,,,,,,
2020-03-01,,3.7142857142857144,8.428571428571429,,,0.0,,,,,,
2020-03-02,,3.857142857142857,14.0,,,0.14285714285714285,,,,,,
2020-03-03,,5.428571428571429,21.714285714285715,,,0.14285714285714285,,,,,,
2020-03-04,,10.285714285714286,28.857142857142858,,,0.2857142857142857,,,,36.285714285714285,,
2020-03-05,,14.428571428571429,34.57142857142857,,,0.5714285714285714,,,,50.285714285714285,,
2020-03-06,,20.142857142857142,44.714285714285715,,,0.8571428571428571,,,,70.28571428571429,,
2020-03-07,,26.142857142857142,53.714285714285715,,,0.8571428571428571,,,,96.28571428571429,,
2020-03-08,,33.714285714285715,58.57142857142857,,1.2857142857142858,1.1428571428571428,,,,129.71428571428572,0.9911894273127754,
2020-03-09,,40.142857142857146,73.85714285714286,,1.8571428571428572,1.7142857142857142,,,,169.0,1.098901098901099,
2020-03-10,,46.0,103.42857142857143,,2.0,2.142857142857143,,,,214.14285714285714,0.9339559706470981,
2020-03-11,,53.0,152.85714285714286,,3.142857142857143,3.0,,,,266.2857142857143,1.1802575107296138,
2020-03-12,,68.0,215.0,1.2857142857142858,4.571428571428571,4.571428571428571,,,,333.42857142857144,1.3710368466152527,
2020-03-13,,91.0,271.42857142857144,1.2857142857142858,6.857142857142857,6.571428571428571,,,,423.57142857142856,1.6188870151770656,
2020-03-14,,122.14285714285714,312.0,3.7142857142857144,10.0,9.571428571428571,,,,544.8571428571429,1.83534347142108,
2020-03-15,,160.0,367.14285714285717,5.714285714285714,14.142857142857142,13.714285714285714,,,,704.1428571428572,2.0085209981740717,
2020-03-16,,174.57142857142858,432.14285714285717,8.714285714285714,20.142857142857142,20.285714285714285,,,,878.5714285714286,2.292682926829268,
